web_scraper_order,web_scraper_start_url,category,category_href,category_name,category_description,category_emoji_item,category_emoji_item_href,emoji,emoji_name,emoji_description
"1573517387-1755","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😠 Angry Face","https://emojipedia.org/angry-face/","😠","Angry Face","A yellow face with a frowning mouth and eyes and eyebrows scrunched downward in anger. Google’s design features a reddish face and Facebook’s, clenched teeth.
Conveys varying degrees of anger, from grumpiness and irritation to disgust and outrage. May also represent someone acting tough or being mean.
Samsung’s design previously featured a reddish face with clenched teeth and wrinkled chin.

Angry Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573509474-1243","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🍗 Poultry Leg","https://emojipedia.org/poultry-leg/","🍗","Poultry Leg","A crispy brown leg (drumstick) of chicken, duck, turkey, or other poultry on the bone, as roasted at Thanksgiving or Christmas dinner or fried at fast-food restaurants.

Poultry Leg was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573503200-1017","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚅 Bullet Train","https://emojipedia.org/high-speed-train-with-bullet-nose/","🚅","Bullet Train","A high speed train, designed to cover long distances at high speed. Also features a streamlined bullet nose, often used in reference to the Shinkansen in Japan.

Bullet Train was approved as part of Unicode 6.0 in 2010
under the name “High-Speed Train With Bullet Nose”
and added to Emoji 1.0 in 2015."
"1573516240-1614","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👨‍🎨 Man Artist","https://emojipedia.org/male-artist/","👨‍🎨","‍🎨 Man Artist","The Man Artist emoji is a sequence of the 👨 Man and 🎨 Artist Palette emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Artist was added to Emoji 4.0 in 2016."
"1573509559-1246","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥞 Pancakes","https://emojipedia.org/pancakes/","🥞","Pancakes","A stack of breakfast pancakes, topped with a pad of butter and maple syrup oozing down its golden-brown sides, onto a plate on some platforms. Associated with the Christian observance of Shrove Tuesday, or ""Pancake Day.""

Pancakes was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
"1573509089-1229","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥣 Bowl With Spoon","https://emojipedia.org/bowl-with-spoon/","🥣","Bowl With Spoon","A bowl with a silver spoon inside, as used to eat cereal or soup. Bowl color varies across platforms, as do contents. Android depicts breakfast cereal, WhatsApp tomato soup; Apple’s is empty.

Bowl With Spoon was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
"1573492084-536","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🈸 Japanese “Application” Button","https://emojipedia.org/squared-cjk-unified-ideograph-7533/","🈸","Japanese “Application” Button","This Emoji has two meanings.
One meaning is “request” in Japanese. An alternative meaning is “monkey” in the Chinese zodiac.
It is commonly used in Japan to denote an application form or contact information for inquiries.
CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.

Japanese “Application” Button was approved as part of Unicode 6.0 in 2010
 under the name “Squared CJK Unified Ideograph-7533”
and added to Emoji 1.0 in 2015."
"1573506401-1132","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🤹‍♂️ Man Juggling","https://emojipedia.org/man-juggling/","🤹‍♂️","‍♂️ Man Juggling","The Man Juggling emoji is a sequence of the 🤹 Juggling and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Juggling was added to Emoji 4.0 in 2016."
"1573512858-1465","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🎩 Top Hat","https://emojipedia.org/top-hat/","🎩","Top Hat","A top hat, worn in traditional British weddings and other formal occasions. This is also a popular playing piece in the game of Monopoly.

Top Hat was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573492045-535","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🈴 Japanese “Passing Grade” Button","https://emojipedia.org/squared-cjk-unified-ideograph-5408/","🈴","Japanese “Passing Grade” Button","Means “agreement” in Japanese. More literally, it means to unite, or join together.
CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.

Japanese “Passing Grade” Button was approved as part of Unicode 6.0 in 2010
under the name “Squared CJK Unified Ideograph-5408”
and added to Emoji 1.0 in 2015."
"1573517476-1787","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😵 Dizzy Face","https://emojipedia.org/dizzy-face/","😵","Dizzy Face","A yellow face with X’s or spirals for eyes and a round, open mouth. Often depicted with raised or furrowed eyebrows. Facebook’s design features a purple forehead.
May convey a heightened or hyperbolic sense of such feelings as shock, surprise, disbelief, awe, and amazement, as if staggered to the point of disorientation (i.e., dizzy). May also represent sickness, nausea, intoxication, and death, e.g., slang I’m dead!
Not to be confused with 😲 Astonished Face, which previously featured X-shaped eyes on several platforms, though their meanings may overlap.


Dizzy Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573495030-640","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","☪ Star and Crescent","https://emojipedia.org/star-and-crescent/","☪️","Star and Crescent","The crescent moon and star is a symbol often associated with the religion of Islam. This symbol can be found on the flags of many countries, such as Algeria, Azerbaijan, Malaysia, Pakistan and Turkey.

Star and Crescent was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015."
"1573517072-1702","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","✍ Writing Hand","https://emojipedia.org/writing-hand/","✍️","Writing Hand","A right hand holding a pen or pencil and writing. Shown with a blue pen on all platforms except Apple which has a black pen.

Writing Hand was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015."
"1573517607-1815","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤗 Hugging Face","https://emojipedia.org/hugging-face/","🤗","Hugging Face","A yellow face smiling with open hands, as if giving a hug. Many platforms feature the same expression as their 😊 Smiling Face With Smiling Eyes.
May be used to offer thanks and support, show love and care, or express warm, positive feelings more generally. Due to its hand gesture, often used to represent jazz hands, indicating such feelings as excitement, enthusiasm, or a sense of flourish or accomplishment.
Joins 🤔 Thinking Face, 🤫 Shushing Face, and 🤭 Face With Hand Over Mouth as one of the few smileys featuring hands.

 Hugging Face was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015."
"1573501872-969","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚁 Helicopter","https://emojipedia.org/helicopter/","🚁","Helicopter","A helicopter, which can hover in the air. Often seen in emergency circumstances such as transporting patients to a hospital, or for police or fire-fighting activity.

Helicopter was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573505602-1103","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🥍 Lacrosse","https://emojipedia.org/lacrosse-stick-and-ball/","🥍","Lacrosse","Lacrosse was approved as part of Unicode 11.0 in 2018
under the name “Lacrosse Stick and Ball”
and added to Emoji 11.0 in 2018."
"1573505880-1113","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🏀 Basketball","https://emojipedia.org/basketball-and-hoop/","🏀","Basketball","An orange-colored basketball displayed with a hoop. Many versions of this emoji omit the hoop, and display only the basketball.
This emoji can be sent on Facebook Messenger to unlock a hidden basketball game.

Basketball was approved as part of Unicode 6.0 in 2010
under the name “Basketball and Hoop”
and added to Emoji 1.0 in 2015."
"1573505113-1085","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🎭 Performing Arts","https://emojipedia.org/performing-arts/","🎭","Performing Arts","Two masks often used on maps to indicate a theatre, these originate in Greek Theatre as masks of tragedy and comedy.
One mask frowns, the other smiles.

Performing Arts was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573487150-381","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇲🇪 Flag: Montenegro","https://emojipedia.org/flag-for-montenegro/","🇲🇪","🇪 Flag: Montenegro","The flag for Montenegro, which may show as the letters ME on some platforms
The Flag: Montenegro emoji is a sequence of the 🇲 Regional Indicator Symbol Letter M and 🇪 Regional Indicator Symbol Letter E emojis.
These display as a single emoji on supported platforms.

Flag: Montenegro was added to Emoji 1.0 in 2015."
"1573504834-1075","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🥁 Drum","https://emojipedia.org/drum-with-drumsticks/","🥁","Drum","A drum shown with drumsticks. A percussion instrument which is likely to be displayed as a snare drum.

Drum was approved as part of Unicode 9.0 in 2016
under the name “Drum With Drumsticks”
and added to Emoji 3.0 in 2016."
"1573496588-696","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🔊 Speaker High Volume","https://emojipedia.org/speaker-with-three-sound-waves/","🔊","Speaker High Volume","A speaker cone displayed with three sound waves, generally used as an icon to indicate the increasing of volume on a phone or computer.

Speaker High Volume was approved as part of Unicode 6.0 in 2010
under the name “Speaker With Three Sound Waves”
and added to Emoji 1.0 in 2015."
"1573512128-1338","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🌿 Herb","https://emojipedia.org/herb/","🌿","Herb","An herb, a plant used in cooking or medicine. Depicted as a green sprig, as of basil, sage, or oregano, generally with five or seven leaves.
May be used for various content concerning cooking, herbal medicine, and plant life more generally. Occasionally used as slang for marijuana.
Not to be confused with 🌱 Seedling, though their applications may overlap.

Herb was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573512801-1452","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","💨 Dashing Away","https://emojipedia.org/dash-symbol/","💨","Dashing Away","A cartoon-styled gust of air. Depicted as a small, gray cloud with motion lines, rushing to the left.
Resembles briffits, a stylized cloud of dust used in comics and animation to indicate someone or something has dashed away (e.g., leaving someone in the dust).
May be used to represent speed, smoking, and various types of wind, blown or broken. May precede other emoji, such as 🏃Runner or 🚗 Automobile, to indicate something is fast or fleeing: 🏃💨, 🚗💨.
Not to be confused 🌬️ Wind Face, though their applications may overlap.

Dashing Away was approved as part of Unicode 6.0 in 2010
under the name “Dash Symbol”
and added to Emoji 1.0 in 2015."
"1573516732-1632","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👨‍⚖️ Man Judge","https://emojipedia.org/male-judge/","👨‍⚖️","‍⚖️ Man Judge","The Man Judge emoji is a sequence of the 👨 Man and ⚖ Scales emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Judge was added to Emoji 4.0 in 2016."
"1573502033-975","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚢 Ship","https://emojipedia.org/ship/","🚢","Ship","A large ship, used for transport of people or cargo across the ocean. May be a cruise ship, commonly found around tropical locations.

Ship was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573512694-1431","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🐮 Cow Face","https://emojipedia.org/cow-face/","🐮","Cow Face","A friendly, cartoon-styled face of a cow looking straight ahead. Variously depicted as a white, brown, or multicolored cow face with a neutral expression, short horns, and a pink or brown muzzle.
Often used with a more affectionate tone than the full-bodied 🐄 Cow.
Facebook’s design once featured a more lifelike, brown cow face.

Cow Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573517012-1679","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👨‍🦰 Man: Red Hair","https://emojipedia.org/man-red-haired/","👨‍🦰","‍🦰 Man: Red Hair","A man with red hair. Sometimes described as ginger, orange, copper, or auburn.
The Man: Red Hair emoji is a sequence of the 👨 Man and 🦰 Emoji Component Red Hair emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man: Red Hair was added to Emoji 11.0 in 2018."
"1573507628-1176","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🥄 Spoon","https://emojipedia.org/spoon/","🥄","Spoon","A silver spoon, as used to eat soup, cereal, or ice cream as well as serve food or stir drinks. Positioned at various angles across platforms. May be paired with Fork and Knife, Fork and Knife With Plate, and Bowl With Spoon.

Spoon was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
"1573517554-1794","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤕 Face With Head-Bandage","https://emojipedia.org/face-with-head-bandage/","🤕","Face With Head-Bandage","A yellow face with a half-frown and white bandage wrapped around its head, often depicted partially over one eye. May represent physical injury or pain but also emotional hurting, sometimes for ironic effect.
Differs from other smileys conveying illness, such as 🤢 Nauseated Face (appearing as if it’s going to vomit) or 🤒 Face With Thermometer (used especially for colds and flus).

Face With Head-Bandage was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015."
"1573488712-412","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇮🇷 Flag: Iran","https://emojipedia.org/flag-for-iran/","🇮🇷","🇷 Flag: Iran","The flag for Iran, which may show as the letters IR on some platforms.
The Flag: Iran emoji is a sequence of the 🇮 Regional Indicator Symbol Letter I and 🇷 Regional Indicator Symbol Letter R emojis.
These display as a single emoji on supported platforms.

Flag: Iran was added to Emoji 1.0 in 2015."
"1573512783-1449","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🦍 Gorilla","https://emojipedia.org/gorilla/","🦍","Gorilla","A gorilla, the powerful, black-haired great ape. Variously depicted in full profile on all fours facing left or as a friendly, cartoon-styled gorilla face looking straight ahead.
Apple, WhatsApp, Facebook, and Microsoft’s designs feature a full gorilla, as a silverback, with strong shoulders and reddish forehead. Google, Samsung, and Twitter’s designs feature a black and gray gorilla face with a neutral expression and prominent forehead and jaw.
Facebook’s design previously featured only a gorilla face.

Gorilla was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
"1573484921-267","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🏴󠁧󠁢󠁳󠁣󠁴󠁿 Flag: Scotland","https://emojipedia.org/flag-for-scotland/","🏴󠁧󠁢󠁳󠁣󠁴󠁿","󠁧󠁢󠁳󠁣󠁴󠁿 Flag: Scotland","The flag for Scotland, a country in the United Kingdom. May show as the letters gbsct.
The Flag: Scotland emoji is a sequence of the 🏴 Waving Black Flag, 󠁧 Tag Latin Small Letter G, 󠁢 Tag Latin Small Letter B, 󠁳 Tag Latin Small Letter S, 󠁣 Tag Latin Small Letter C, 󠁴 Tag Latin Small Letter T and 󠁿 Cancel Tag emojis.
These display as a single emoji on supported platforms.

Flag: Scotland was added to Emoji 5.0 in 2017."
"1573496171-681","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🚼 Baby Symbol","https://emojipedia.org/baby-symbol/","🚼","Baby Symbol","The symbol for a baby, usually used to indicate a room that is suitable to change a baby in. Often located in or near public restrooms.

Baby Symbol was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573496441-690","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","🎵 Musical Note","https://emojipedia.org/musical-note/","🎵","Musical Note","A music note emoji, which can denote song lyrics, or other music related topics.
Displays as two eighth-notes (quavers in British English) connected with a beam in the Apple artwork. A single eight-note (quaver) is used in Microsoft and Google’s emoji font.

Musical Note was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573512919-1476","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👝 Clutch Bag","https://emojipedia.org/pouch/","👝","Clutch Bag","A small pouch, somewhere between the size of a handbag, and a purse.

Clutch Bag was approved as part of Unicode 6.0 in 2010
under the name “Pouch”
and added to Emoji 1.0 in 2015."
"1573502259-983","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚦 Vertical Traffic Light","https://emojipedia.org/vertical-traffic-light/","🚦","Vertical Traffic Light","A set of red, orange (amber) and green traffic lights, used at intersections. More common than the horizontal traffic light.

Vertical Traffic Light was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573505852-1112","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","Activity","Emojis for sports, music, the arts, hobbies and other activities.","🏐 Volleyball","https://emojipedia.org/volleyball/","🏐","Volleyball","A volleyball emoji, showing the round ball used in the sport. Played as part of the Summer Olympic Games.

Volleyball was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015."
"1573512496-1394","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🐤 Baby Chick","https://emojipedia.org/baby-chick/","🐤","Baby Chick","A yellow baby chicken (chick). Variously depicted as a chick in full profile, standing on its legs, or as a chick head. Both designs show the bird facing left, with an orange beak and feet.
Often used with an affectionate tone. May be used to represent various types of baby birds. May also be used to represent chicken foods (e.g., poultry, eggs), spring, Easter, or slang senses of chick.
Not to be confused with 🐣 Hatching Chick or 🐥Front-Facing Baby Chick, though their applications overlap. See also 🐔 Chicken and 🐓 Rooster.
Apple, WhatsApp, and Facebook’s designs feature a chick head; other major platforms display a full-bodied chick.

Baby Chick was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573514934-1567","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🧛‍♂️ Man Vampire","https://emojipedia.org/man-vampire/","🧛‍♂️","‍♂️ Man Vampire","The Man Vampire emoji is a sequence of the 🧛 Vampire and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Vampire was added to Emoji 5.0 in 2017."
"1573512571-1410","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🐹 Hamster","https://emojipedia.org/hamster-face/","🐹","Hamster","A friendly, cartoon-styled face of a hamster—a small rodent often kept as a pet—looking straight ahead. Generally depicted as a brown-and-white faced hamster with whiskers, a pink nose, puffy cheeks, and large, round, pink ears, sometimes with a buck tooth.
Often used with an affectionate tone. May be used to represent a gerbil, guinea pig, chinchilla, or related animals. Does not have a full-bodied hamster emoji counterpart.
Not to be confused with 🐭 Mouse Face.
Microsoft’s hamster was previously gray.

Hamster was approved as part of Unicode 6.0 in 2010
 under the name “Hamster Face”
and added to Emoji 1.0 in 2015."
"1573495142-645","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","Symbols","Heart emojis, clocks, arrows, signs and shapes.","✡ Star of David","https://emojipedia.org/star-of-david/","✡️","Star of David","A symbol often used in relation to the religion of Judaism. Not to be confused with the Six Pointed Star With Middle Dot emoji.

Star of David was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015."
"1573512611-1419","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🐫 Two-Hump Camel","https://emojipedia.org/bactrian-camel/","🐫","Two-Hump Camel","A Bactrian camel, a long-necked mammal with two large humps on its back. Depicted in light or yellowish brown, sometimes with a shaggy mane and humps, in full profile on all fours facing left.
Not to be confused with 🐪 Camel (dromedary), though their applications generally overlap.
May be used in association with deserts, the Middle East and Central Asia, and Wednesday (Hump Day).
Samsung’s design features a camel with a shaggy head of hair and slight smile. Google’s design previously featured a blanket on its back, as for transport.

 Two-Hump Camel was approved as part of Unicode 6.0 in 2010
under the name “Bactrian Camel”
and added to Emoji 1.0 in 2015."
"1573512368-1365","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🐌 Snail","https://emojipedia.org/snail/","🐌","Snail","A snail, a slow-moving, snail-like mollusk in a spiraling shell. Generally depicted as a brown snail in full profile facing left or right, with a brown, textured shell and tentacle-like eyes.
May be used to represent a slug and various senses of slow.
Twitter’s snail has a purple body and yellow shell. Microsoft’s snail previously had a green body.

Snail was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573517027-1685","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👦 Boy","https://emojipedia.org/boy/","👦","Boy","The face of a boy, smiling. Previously differentiated from the man emoji on Android by wearing a cap, and on iOS by the lack of any facial hair.

Boy was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573500059-905","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","☎ Telephone","https://emojipedia.org/black-telephone/","☎️","Telephone","A classic telephone, as a landline home phone. Most platforms depict a red, push-button phone with the handset on the base.
Used for various content concerning literal and figurative phone-calling. Also used as an icon before a phone number.
Google and Samsung’s designs feature rotary dials. See the glossary for the term black in Unicode character names.

Telephone was approved as part of Unicode 1.1 in 1993
under the name “Black Telephone”
and added to Emoji 1.0 in 2015."
"1573513002-1492","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🕶 Sunglasses","https://emojipedia.org/dark-sunglasses/","🕶️","️ Sunglasses","Sunglasses that can be worn outside for protection from the sun. Often association with connotations of being ""cool"", or leisurely in sunny places.
This emoji shows only the sunglasses, which differs from the smiling face with sunglasses emoji.

Sunglasses was approved as part of Unicode 7.0 in 2014
under the name “Dark Sunglasses”
and added to Emoji 1.0 in 2015."
"1573515732-1596","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👷‍♂️ Man Construction Worker","https://emojipedia.org/male-construction-worker/","👷‍♂️","‍♂️ Man Construction Worker","The male version of the 👷 Construction Worker emoji. Currently identical in appearance to the non-gendered base emoji.
The Man Construction Worker emoji is a sequence of the 👷 Construction Worker and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Construction Worker was added to Emoji 4.0 in 2016."
"1573512288-1352","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🌸 Cherry Blossom","https://emojipedia.org/cherry-blossom/","🌸","Cherry Blossom","The pink flower of a cherry blossom tree. Depicted as a single, light-pink cherry blossom with five, notched petals and red-tipped stamens in a yellow or white center.
A traditional symbol in Japan, where the flower is called sakura and celebrated in annual viewings.
Commonly used for Valentine’s Day, Mother’s Day, and other special occasions. May be more generally used to express such ideas as love and beauty. Also used as a pink accent color.
Not to be confused with 💮 White Flower and 🌺 Hibiscus, though their applications may overlap.

 Cherry Blossom was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573512324-1358","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","Animals & Nature","Emojis for animals, nature, and weather.","🕷 Spider","https://emojipedia.org/spider/","🕷️","️ Spider","A spider, an eight-legged arachnid that spins a web. Depicted as a common black spider, as a house spider or funnel-web spider, shown from above with its large abdomen oriented at the bottom.
See also 🕸️ Spider Web. Commonly used during Halloween and to represent the superhero Spider-Man.
Google's spider is upside down, suspended from a thread. Facebook’s spider is shown on its eight legs facing left. Microsoft’s spider was previously a black widow, Samsung’s was brown.

Spider was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573499889-899","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","💻 Laptop","https://emojipedia.org/personal-computer/","💻","Laptop","A laptop personal computer. Depicted as a black or gray device, opened to show a dark or blue screen, keyboard, and touchpad.
Commonly used for various content concerning computer technology, work, and activity.
Previous designs resembled a desktop computer (e.g., iMac) on many platforms, hence its Unicode name of Personal Computer. Apple’s design now resembles a MacBook.

Laptop was approved as part of Unicode 6.0 in 2010
under the name “Personal Computer”
and added to Emoji 1.0 in 2015."
"1573512953-1482","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👗 Dress","https://emojipedia.org/dress/","👗","Dress","A pretty dress, suitable for a ball, party or other similar occasion.

Dress was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
